year,X0,Coordinates0,Latitude0,Longitude0,freq
1991,"'Mexico City',Mexico",MEX,19.4347,-99.08476,1
1991,"'Minsk',USSR",Minsk,55.73034,36.85825,2
1991,"'Moneda',Chile",Moneda de Oro,-33.04382,-71.62353,1
1991,"'Montevideo',Uruguay",Montevideo,-34.87417,-56.16293,1
1991,"'Moscow',USSR",Moscow,55.87737,37.70001,9
1991,"'Nairobi',Kenya",Nairobi,-1.28352,36.82379,1
1991,"'Nakhichevan',Azerbaijan",Nakhichevan',39.20889,45.41222,1
1991,"'Narbonne',France","Narbonne, Aude, Occitanie",43.18835,3.00432,1
1991,"'National',South Africa",National,-23.90833,29.45685,5
1991,"'National',United Kingdom",National,53.76857,-0.35684,2
1991,"'Newcastle',United Kingdom","Newcastle, County Down, Northern Ireland",54.21448,-5.89306,1
1991,"'Niamey',Niger",Niamey,13.51627,2.11633,1
1991,"'Nouadhibou',Mauritania","Nouâdhibou, Dakhlet Nouadhibou",20.93098,-17.03465,1
1991,"'Nouakchott',Mauritania",Nouakchott,18.09193,-15.97248,1
1991,"'Ondangwa',Namibia","Ondangwa, Oshana",-17.91172,15.9734,1
1991,"'Otjiwarongo',Namibia","Otjiwarongo, Otjozondjupa",-20.46119,16.65116,1
1991,"'Ouagadougou',Burkina Faso","Ouagadougou, Kadiogo, Centre",12.36857,-1.5271,2
1991,"'Panama City',Panama","Panama, Panamá",8.95239,-79.5354,1
